requested_symbol,exchange,tradingsymbol,instrument_token,isin,name
HDFCBANK,NSE,HDFCBANK,341249,,HDFC BANK
ICICIBANK,NSE,ICICIBANK,1270529,,ICICI BANK
SBIN,NSE,SBIN,779521,,STATE BANK OF INDIA
AXISBANK,NSE,AXISBANK,1510401,,AXIS BANK
KOTAKBANK,NSE,KOTAKBANK,492033,,KOTAK MAHINDRA BANK
TCS,NSE,TCS,2953217,,TATA CONSULTANCY SERV LT
INFY,NSE,INFY,408065,,INFOSYS
WIPRO,NSE,WIPRO,969473,,WIPRO
HCLTECH,NSE,HCLTECH,1850625,,HCL TECHNOLOGIES
TECHM,NSE,TECHM,3465729,,TECH MAHINDRA
ITC,NSE,ITC,424961,,ITC
HINDUNILVR,NSE,HINDUNILVR,356865,,HINDUSTAN UNILEVER
NESTLEIND,NSE,NESTLEIND,4598529,,NESTLE INDIA
BRITANNIA,NSE,BRITANNIA,140033,,BRITANNIA INDUSTRIES
MARUTI,NSE,MARUTI,2815745,,MARUTI SUZUKI INDIA
M&M,NSE,M&M,519937,,MAHINDRA & MAHINDRA
BAJAJ-AUTO,NSE,BAJAJ-AUTO,4267265,,BAJAJ AUTO
RELIANCE,NSE,RELIANCE,738561,,RELIANCE INDUSTRIES
ONGC,NSE,ONGC,633601,,OIL AND NATURAL GAS CORP.
BPCL,NSE,BPCL,134657,,BHARAT PETROLEUM CORP  LT
LT,NSE,LT,2939649,,LARSEN & TOUBRO
ADANIPORTS,NSE,ADANIPORTS,3861249,,ADANI PORT & SEZ
ULTRACEMCO,NSE,ULTRACEMCO,2952193,,ULTRATECH CEMENT
SUNPHARMA,NSE,SUNPHARMA,857857,,SUN PHARMACEUTICAL IND L
DRREDDY,NSE,DRREDDY,225537,,DR. REDDY S LABORATORIES
CIPLA,NSE,CIPLA,177665,,CIPLA
BHARTIARTL,NSE,BHARTIARTL,2714625,,BHARTI AIRTEL
NIFTYBEES,NSE,NIFTYBEES,2707457,,NIPPON INDIA ETF NIFTY 50 BEES
BANKBEES,NSE,BANKBEES,2928385,,NIPPON INDIA ETF BANK BEES
ITBEES,NSE,ITBEES,4885505,,NIPPON INDIA ETF NIFTY IT
JUNIORBEES,NSE,JUNIORBEES,2800385,,NIPPON INDIA ETF NIFTY NEXT 50 JUNIOR BEES
GOLDBEES,NSE,GOLDBEES,3693569,,NIPPON INDIA ETF GOLD BEES
