Date,Open,High,Low,Close,Volume
2016-07-05,27.9,28.1,27.65,28.05,12736
2016-07-07,28.25,28.5,28.25,28.35,27586
2016-07-08,28.35,28.4,28.15,28.35,16515
2016-07-11,28.4,28.5,28.25,28.4,19883
2016-07-12,28.35,28.35,28.15,28.15,15112
2016-07-13,28.0,28.3,27.85,28.05,11640
2016-07-14,28.05,28.15,27.95,28.0,7147
2016-07-15,27.85,28.1,27.85,27.95,10781
2016-07-18,27.95,27.95,27.8,27.85,20422
2016-07-19,27.85,27.95,27.85,27.9,32435
2016-07-20,27.9,28.0,27.8,27.85,16544
2016-07-21,27.8,27.9,27.65,27.85,26814
2016-07-22,27.85,27.95,27.8,27.85,20844
2016-07-25,27.75,27.85,27.7,27.75,10403
2016-07-26,27.75,28.0,27.75,27.9,9826
2016-07-27,28.0,28.0,27.8,27.85,6603
2016-07-28,28.0,28.2,27.9,28.05,18960
2016-07-29,27.95,28.05,27.8,27.95,13138
2016-08-01,28.1,28.5,28.05,28.45,25483
2016-08-02,28.5,28.8,28.25,28.8,25971
2016-08-03,29.0,29.15,28.8,28.85,69890
2016-08-04,28.75,28.85,28.55,28.75,8548
2016-08-05,28.9,29.2,28.8,29.1,15615
2016-08-08,28.75,28.8,28.3,28.35,13566
2016-08-09,28.35,28.6,28.35,28.55,6030
2016-08-10,28.75,28.95,28.7,28.8,10981
2016-08-11,28.55,28.7,28.5,28.65,12077
2016-08-12,28.55,28.75,28.5,28.7,6232
2016-08-16,28.8,28.85,28.4,28.5,13109
2016-08-17,28.5,28.6,28.45,28.45,5373
2016-08-18,28.5,28.75,28.5,28.65,8299
2016-08-19,28.65,28.75,28.55,28.65,11105
2016-08-22,28.55,28.6,28.4,28.55,9325
2016-08-23,28.55,28.65,28.45,28.5,6615
2016-08-24,28.5,28.55,28.4,28.5,4472
2016-08-25,28.35,28.4,28.25,28.3,5958
2016-08-26,28.35,28.55,28.25,28.4,8264
2016-08-29,28.3,28.4,28.1,28.15,7650
2016-08-30,28.3,28.35,28.1,28.15,4211
2016-08-31,28.1,28.2,28.05,28.1,7431
2016-09-01,28.2,28.2,27.8,27.8,17826
2016-09-02,28.0,28.0,27.8,27.9,8824
2016-09-06,28.0,28.1,28.0,28.05,16849
2016-09-07,28.2,28.4,28.2,28.3,15924
2016-09-08,28.2,28.35,28.2,28.3,9288
2016-09-09,28.25,28.25,28.05,28.15,18348
2016-09-12,28.15,28.45,28.1,28.4,13751
2016-09-14,28.4,28.4,28.05,28.25,6481
2016-09-15,28.2,28.3,28.1,28.15,5742
2016-09-16,28.1,28.15,28.05,28.1,6083
2016-09-19,28.15,28.35,28.1,28.25,9951
2016-09-20,28.25,28.3,28.15,28.3,12598
2016-09-21,28.3,28.4,28.2,28.35,5890
2016-09-22,28.35,28.5,28.35,28.4,10419
2016-09-23,28.5,28.5,28.35,28.4,12335
2016-09-26,28.4,28.5,28.3,28.4,22752
2016-09-27,28.3,28.4,28.3,28.35,6967
2016-09-28,28.3,28.3,28.05,28.1,6469
2016-09-29,28.0,28.6,28.0,28.5,23971
2016-09-30,28.5,28.5,28.15,28.25,8091
2016-10-03,28.2,28.2,28.05,28.15,10656
2016-10-04,28.15,28.2,28.1,28.15,8197
2016-10-05,27.85,27.95,27.6,27.9,23420
2016-10-06,28.0,28.0,27.65,27.7,11945
2016-10-07,27.7,27.75,27.55,27.6,34859
2016-10-10,29.0,29.0,27.65,27.95,30524
2016-10-13,28.0,28.0,27.5,27.55,18083
2016-10-14,27.55,27.55,27.4,27.5,6349
2016-10-17,27.9,28.45,27.4,27.45,11588
2016-10-18,27.45,27.6,27.45,27.55,5138
2016-10-19,27.55,27.6,27.4,27.45,8654
2016-10-20,27.5,27.55,27.45,27.5,6351
2016-10-21,27.5,27.5,27.4,27.45,4764
2016-10-24,27.55,27.55,27.3,27.35,12161
2016-10-25,27.35,27.35,27.2,27.25,14046
2016-10-26,27.3,27.35,27.25,27.3,18432
2016-10-27,27.25,27.35,27.2,27.25,15117
2016-10-28,28.6,28.6,27.3,27.4,60084
2016-11-01,27.9,27.9,27.3,27.4,18254
