Symbol,Company,Weight,WeightPct,Source,SourceUrl,FetchedAtIST,MappingStatus
RELIANCE,RELIANCE INDUSTRIES LTD,9.18,9.18,Smart-Investing NIFTY weightage table,https://www.smart-investing.in/indices-bse-nse.php?index=NIFTY,2026-07-03T14:04:51.745795+05:30,mapped_to_official_nifty_constituent
HDFCBANK,HDFC BANK LTD,6.38,6.38,Smart-Investing NIFTY weightage table,https://www.smart-investing.in/indices-bse-nse.php?index=NIFTY,2026-07-03T14:04:51.745795+05:30,mapped_to_official_nifty_constituent
BHARTIARTL,BHARTI AIRTEL LTD,5.95,5.95,Smart-Investing NIFTY weightage table,https://www.smart-investing.in/indices-bse-nse.php?index=NIFTY,2026-07-03T14:04:51.745795+05:30,mapped_to_official_nifty_constituent
ICICIBANK,ICICI BANK LTD,5.23,5.23,Smart-Investing NIFTY weightage table,https://www.smart-investing.in/indices-bse-nse.php?index=NIFTY,2026-07-03T14:04:51.745795+05:30,mapped_to_official_nifty_constituent
SBIN,STATE BANK OF INDIA,5.05,5.05,Smart-Investing NIFTY weightage table,https://www.smart-investing.in/indices-bse-nse.php?index=NIFTY,2026-07-03T14:04:51.745795+05:30,mapped_to_official_nifty_constituent
TCS,TATA CONSULTANCY SERVICES LTD,3.89,3.89,Smart-Investing NIFTY weightage table,https://www.smart-investing.in/indices-bse-nse.php?index=NIFTY,2026-07-03T14:04:51.745795+05:30,mapped_to_official_nifty_constituent
BAJFINANCE,BAJAJ FINANCE LTD,3.3,3.3,Smart-Investing NIFTY weightage table,https://www.smart-investing.in/indices-bse-nse.php?index=NIFTY,2026-07-03T14:04:51.745795+05:30,mapped_to_official_nifty_constituent
LT,LARSEN & TOUBRO LTD,2.91,2.91,Smart-Investing NIFTY weightage table,https://www.smart-investing.in/indices-bse-nse.php?index=NIFTY,2026-07-03T14:04:51.745795+05:30,mapped_to_official_nifty_constituent
HINDUNILVR,HINDUSTAN UNILEVER LTD,2.7,2.7,Smart-Investing NIFTY weightage table,https://www.smart-investing.in/indices-bse-nse.php?index=NIFTY,2026-07-03T14:04:51.745795+05:30,mapped_to_official_nifty_constituent
MARUTI,MARUTI SUZUKI INDIA LTD,2.35,2.35,Smart-Investing NIFTY weightage table,https://www.smart-investing.in/indices-bse-nse.php?index=NIFTY,2026-07-03T14:04:51.745795+05:30,mapped_to_official_nifty_constituent
SUNPHARMA,SUN PHARMACEUTICAL INDUSTRIES LTD,2.34,2.34,Smart-Investing NIFTY weightage table,https://www.smart-investing.in/indices-bse-nse.php?index=NIFTY,2026-07-03T14:04:51.745795+05:30,mapped_to_official_nifty_constituent
ADANIPORTS,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD,2.26,2.26,Smart-Investing NIFTY weightage table,https://www.smart-investing.in/indices-bse-nse.php?index=NIFTY,2026-07-03T14:04:51.745795+05:30,mapped_to_official_nifty_constituent
AXISBANK,AXIS BANK LTD,2.21,2.21,Smart-Investing NIFTY weightage table,https://www.smart-investing.in/indices-bse-nse.php?index=NIFTY,2026-07-03T14:04:51.745795+05:30,mapped_to_official_nifty_constituent
INFY,INFOSYS LTD,2.2,2.2,Smart-Investing NIFTY weightage table,https://www.smart-investing.in/indices-bse-nse.php?index=NIFTY,2026-07-03T14:04:51.745795+05:30,mapped_to_official_nifty_constituent
ADANIENT,ADANI ENTERPRISES LTD,2.15,2.15,Smart-Investing NIFTY weightage table,https://www.smart-investing.in/indices-bse-nse.php?index=NIFTY,2026-07-03T14:04:51.745795+05:30,mapped_to_official_nifty_constituent
TITAN,TITAN COMPANY LTD,2.07,2.07,Smart-Investing NIFTY weightage table,https://www.smart-investing.in/indices-bse-nse.php?index=NIFTY,2026-07-03T14:04:51.745795+05:30,mapped_to_official_nifty_constituent
KOTAKBANK,KOTAK MAHINDRA BANK LTD,2.07,2.07,Smart-Investing NIFTY weightage table,https://www.smart-investing.in/indices-bse-nse.php?index=NIFTY,2026-07-03T14:04:51.745795+05:30,mapped_to_official_nifty_constituent
M&M,MAHINDRA & MAHINDRA LTD,2.05,2.05,Smart-Investing NIFTY weightage table,https://www.smart-investing.in/indices-bse-nse.php?index=NIFTY,2026-07-03T14:04:51.745795+05:30,mapped_to_official_nifty_constituent
ITC,ITC LTD,1.89,1.89,Smart-Investing NIFTY weightage table,https://www.smart-investing.in/indices-bse-nse.php?index=NIFTY,2026-07-03T14:04:51.745795+05:30,mapped_to_official_nifty_constituent
NTPC,NTPC LTD,1.81,1.81,Smart-Investing NIFTY weightage table,https://www.smart-investing.in/indices-bse-nse.php?index=NIFTY,2026-07-03T14:04:51.745795+05:30,mapped_to_official_nifty_constituent
