strategy_id,guardrail_profile,fold_count,mean_buyhold_annualized,mean_base_annualized,mean_guarded_annualized,min_guarded_annualized,folds_guarded_beating_buyhold,total_events_delevered,all_folds_guarded_beat_buyhold
TB06_T03_LowVolPortfolioRank,late_10_15_floor50,10,0.17117675082778336,0.09487582375052747,0.09091037901913851,-0.1101372164006924,3,33,False
TB06_T03_LowVolPortfolioRank,medium_8_12_floor25,10,0.17117675082778336,0.09487582375052747,0.09298873846910534,-0.09772472399263088,2,44,False
TB06_T03_LowVolPortfolioRank,rl_hard_5_75_10_cash,10,0.17117675082778336,0.09487582375052747,0.07325481668789943,-0.08664558186880567,2,92,False
TB06_T03_LowVolPortfolioRank,soft_5_10_floor50,10,0.17117675082778336,0.09487582375052747,0.08844797014147796,-0.08600258363177549,2,86,False
TB06_T05_IndexRelativeMomentum,late_10_15_floor50,10,0.17117675082778336,0.08417472593714526,0.07767339281319491,-0.1417319975512491,2,56,False
TB06_T05_IndexRelativeMomentum,medium_8_12_floor25,10,0.17117675082778336,0.08417472593714526,0.087410972781673,-0.10736782400246336,3,103,False
TB06_T05_IndexRelativeMomentum,rl_hard_5_75_10_cash,10,0.17117675082778336,0.08417472593714526,0.049328426798532846,-0.08581541156039962,3,145,False
TB06_T05_IndexRelativeMomentum,soft_5_10_floor50,10,0.17117675082778336,0.08417472593714526,0.0754518379774178,-0.1158190931785128,3,131,False
TB06_Z01_ActiveSleeveOnly,late_10_15_floor50,10,0.17117675082778336,0.05063908101065999,0.07605244981996527,-0.31178530331881726,3,90,False
TB06_Z01_ActiveSleeveOnly,medium_8_12_floor25,10,0.17117675082778336,0.05063908101065999,0.09015326148253291,-0.22396253033837132,3,113,False
TB06_Z01_ActiveSleeveOnly,rl_hard_5_75_10_cash,10,0.17117675082778336,0.05063908101065999,0.11139242554822659,-0.10044867420300152,4,142,False
TB06_Z01_ActiveSleeveOnly,soft_5_10_floor50,10,0.17117675082778336,0.05063908101065999,0.07383336017660627,-0.30915822762063494,3,133,False
TB06_Z01_BuyHoldMomentumThrottle,late_10_15_floor50,10,0.17117675082778336,0.13744819943971712,0.13817790969542387,-0.20583933980141034,4,14,False
TB06_Z01_BuyHoldMomentumThrottle,medium_8_12_floor25,10,0.17117675082778336,0.13744819943971712,0.13034092275696924,-0.18984409858168017,4,30,False
TB06_Z01_BuyHoldMomentumThrottle,rl_hard_5_75_10_cash,10,0.17117675082778336,0.13744819943971712,0.13756719690670866,-0.11230265154609409,4,70,False
TB06_Z01_BuyHoldMomentumThrottle,soft_5_10_floor50,10,0.17117675082778336,0.13744819943971712,0.13580191235677325,-0.19421063216903134,4,62,False
TB06_Z01_UniverseTimedOnly,late_10_15_floor50,10,0.17117675082778336,0.16987651421614736,0.16791642824254466,-0.1273191035940745,4,11,False
TB06_Z01_UniverseTimedOnly,medium_8_12_floor25,10,0.17117675082778336,0.16987651421614736,0.15727009248910714,-0.14213726134959748,1,24,False
TB06_Z01_UniverseTimedOnly,rl_hard_5_75_10_cash,10,0.17117675082778336,0.16987651421614736,0.15512946782857878,-0.15512980422544465,2,53,False
TB06_Z01_UniverseTimedOnly,soft_5_10_floor50,10,0.17117675082778336,0.16987651421614736,0.1588262068377241,-0.14439339988064281,1,52,False
