fold_id,rebalance_ts,next_rebalance_ts,universe_return,active_return,dispersion,active_weight,retained_names,excluded_losers
1,2016-05-26 10:15:00,2016-06-09 09:15:00,0.035613355241382275,0.04916887720152441,0.0044945297888407,0.25,LT|BAJAJ-AUTO|ONGC,SBIN|TCS|ADANIPORTS
1,2016-06-09 09:15:00,2016-06-23 09:15:00,-0.0016026461503562827,0.015088013627445399,0.0015000562765232,0.25,HCLTECH|SBIN|ICICIBANK,BHARTIARTL|INFY|HINDUNILVR
1,2016-06-23 09:15:00,2016-07-08 09:15:00,0.019574944617905685,-0.035321124958492746,0.0089125591137274,0.25,HCLTECH|SBIN|BHARTIARTL,BPCL|SUNPHARMA|TCS
1,2016-07-08 09:15:00,2016-07-22 09:15:00,0.021573161847643914,0.0594478885796409,0.0034332740518937996,0.25,SBIN|BHARTIARTL|ICICIBANK,NESTLEIND|KOTAKBANK|MARUTI
1,2016-07-22 09:15:00,2016-08-05 09:15:00,0.012982647614782631,-0.023867223812739022,0.0048669225834159,0.25,BHARTIARTL|NESTLEIND|LT,AXISBANK|ITC|SBIN
1,2016-08-05 09:15:00,2016-08-22 09:15:00,0.015507124780042179,0.11917344657680672,0.0042987464752604,0.25,BRITANNIA|ITC|HINDUNILVR,KOTAKBANK|HCLTECH|LT
1,2016-08-22 09:15:00,2016-09-06 09:15:00,0.012425533082259325,-0.00025596752814370375,0.0029958547001532,0.25,ITC|HINDUNILVR|BAJAJ-AUTO,TECHM|CIPLA|SUNPHARMA
1,2016-09-06 09:15:00,2016-09-21 09:15:00,-0.0015402439139780668,0.04228808666120577,0.0032802171954054004,0.25,RELIANCE|ADANIPORTS|AXISBANK,M&M|LT|ONGC
1,2016-09-21 09:15:00,2016-10-05 09:15:00,-0.006276033349761543,-0.024480660809016966,0.0113932879974523,0.25,BAJAJ-AUTO|DRREDDY|BPCL,BRITANNIA|SBIN|AXISBANK
1,2016-10-05 09:15:00,2016-10-21 09:15:00,-5.1078558084040584e-05,-0.044833304912060404,0.0013274888809797001,0.25,BAJAJ-AUTO|M&M|SBIN,DRREDDY|RELIANCE|TCS
