trade_date,expiry_date,days_to_expiry,strike,option_type,open,high,low,close,settle_pr,contracts,val_inlakh,open_int,chg_in_oi,has_traded
2024-07-05,2024-07-11,6,21050.0,CE,3257.7,3274.7,3116.15,3274.7,3298.4,3,18.19,50,25,True
2024-07-05,2024-07-11,6,21100.0,CE,0.0,0.0,0.0,1897.1,3248.5,0,0.0,0,0,False
2024-07-05,2024-07-11,6,21150.0,CE,0.0,0.0,0.0,1850.6,3198.55,0,0.0,0,0,False
2024-07-05,2024-07-11,6,21200.0,CE,3000.8,3120.9,3000.8,3120.9,3120.9,10,60.65,1200,25,True
2024-07-05,2024-07-11,6,21250.0,CE,0.0,0.0,0.0,3077.65,3098.65,0,0.0,900,0,False
2024-07-05,2024-07-11,6,21300.0,CE,2904.0,3011.35,2904.0,3011.35,3011.35,8,48.51,4650,0,True
2024-07-05,2024-07-11,6,21350.0,CE,2853.05,2955.45,2853.05,2955.45,2955.45,8,48.5,1200,0,True
2024-07-05,2024-07-11,6,21400.0,CE,2916.95,2916.95,2822.85,2822.85,2948.85,2,12.13,1925,25,True
2024-07-05,2024-07-11,6,21450.0,CE,0.0,0.0,0.0,2909.0,2898.9,0,0.0,625,0,False
2024-07-05,2024-07-11,6,21500.0,CE,0.0,0.0,0.0,2802.45,2848.95,0,0.0,1850,0,False
2024-07-05,2024-07-11,6,21550.0,CE,0.0,0.0,0.0,2731.7,2799.0,0,0.0,700,0,False
2024-07-05,2024-07-11,6,21600.0,CE,2709.25,2709.25,2709.25,2709.25,2749.05,2,12.15,75,25,True
2024-07-05,2024-07-11,6,21650.0,CE,0.0,0.0,0.0,1403.6,2699.1,0,0.0,0,0,False
2024-07-05,2024-07-11,6,21700.0,CE,0.0,0.0,0.0,2647.0,2649.2,0,0.0,100,0,False
2024-07-05,2024-07-11,6,21750.0,CE,0.0,0.0,0.0,1319.2,2599.25,0,0.0,0,0,False
2024-07-05,2024-07-11,6,21800.0,CE,2515.8,2515.8,2475.9,2475.9,2549.3,2,12.14,3400,0,True
2024-07-05,2024-07-11,6,21850.0,CE,0.0,0.0,0.0,2490.0,2499.35,0,0.0,1050,0,False
2024-07-05,2024-07-11,6,21900.0,CE,0.0,0.0,0.0,2440.0,2449.4,0,0.0,4850,0,False
2024-07-05,2024-07-11,6,21950.0,CE,0.0,0.0,0.0,2350.0,2399.45,0,0.0,625,0,False
