signal_id,generated_at_utc,source_mode,phase,profile,entry_date,expiry_date,days_to_expiry,lot_size,signal_status,skip_reason,broker_order_allowed,trigger_decision,order_route,fill_model,adverse_premium_tolerance,modeled_credit_points,premium_tolerance_floor_points,premium_tolerance_ceiling_points,itemized_entry_cost_points,itemized_entry_cost_rupees,modeled_net_after_entry_cost_points,margin_estimate_points,spot_entry,spot_expiry,vix_entry,defensive_short_call_strike,defensive_short_put_strike,defensive_call_wing_strike,defensive_put_wing_strike,growth_short_call_strike,growth_short_put_strike,growth_call_wing_strike,growth_put_wing_strike,defensive_leg_premiums,growth_leg_premiums,expiry_policy,no_trade_violation,cost_module_status,chain_integrity_status,reconciliation_required
TB11_DRY_0001,2026-06-23T06:47:31.908275+00:00,historical_replay_no_order,phase_1_dry_run,def_full_resg0_ovg50,2017-04-24,2017-04-27,3,65,skipped_maturity_warmup,first_observed_selected_profile_trade_skipped_by_maturity_gate,False,no_order_skip,blocked_no_broker_call,historical_close_premium_proxy,0.15,5.1375,4.366875,5.908125,2.1866955199615385,142.1352087975,2.9508044800384616,744.8625,9306.6,9304.05,11.15,9600.0,9000.0,10100.0,8500.0,9600.0,9000.0,10100.0,8500.0,SC=0.4500|SP=5.0000|LC=0.2500|LP=0.8000,SC=0.4500|SP=5.0000|LC=0.2500|LP=0.8000,exit_before_expiry_required,False,itemized_indian_fno_cost_enabled,historical_chain_detail_available,True
TB11_DRY_0002,2026-06-23T06:47:31.908275+00:00,historical_replay_no_order,phase_1_dry_run,def_full_resg0_ovg50,2019-02-25,2019-02-28,3,65,simulated_signal_logged,none,False,would_open_paper_condor_no_order,blocked_no_broker_call,historical_close_premium_proxy,0.15,4.121250000000002,3.5030625000000013,4.739437500000001,2.187375573311538,142.17941226524997,1.9338744266884635,895.8787500000001,10835.3,10863.5,17.12,11200.0,10500.0,11750.0,9900.0,11200.0,10500.0,11750.0,9900.0,SC=1.2000|SP=4.4000|LC=0.2000|LP=1.5500,SC=1.2000|SP=4.4000|LC=0.2000|LP=1.5500,exit_before_expiry_required,False,itemized_indian_fno_cost_enabled,historical_chain_detail_available,True
TB11_DRY_0003,2026-06-23T06:47:31.908275+00:00,historical_replay_no_order,phase_1_dry_run,def_full_resg0_ovg50,2019-05-20,2019-05-23,3,65,simulated_signal_logged,none,False,would_open_paper_condor_no_order,blocked_no_broker_call,historical_close_premium_proxy,0.15,143.11874999999998,121.65093749999998,164.58656249999996,2.4177596412115383,157.15437667875,140.70099035878843,756.8812499999999,11709.1,11844.1,25.65,12100.0,11350.0,12700.0,10750.0,12100.0,11350.0,12700.0,10750.0,SC=108.4500|SP=48.6500|LC=13.5500|LP=19.6000,SC=108.4500|SP=48.6500|LC=13.5500|LP=19.6000,exit_before_expiry_required,False,itemized_indian_fno_cost_enabled,historical_chain_detail_available,True
TB11_DRY_0004,2026-06-23T06:47:31.908275+00:00,historical_replay_no_order,phase_1_dry_run,def_full_resg0_ovg50,2019-05-22,2019-05-30,8,65,simulated_signal_logged,none,False,would_open_paper_condor_no_order,blocked_no_broker_call,historical_close_premium_proxy,0.15,228.25500000000002,194.01675,262.49325,2.619324976661538,170.25612348299998,225.63567502333848,746.745,11657.05,11922.8,19.41,12050.0,11300.0,12700.0,10700.0,12050.0,11300.0,12700.0,10700.0,SC=159.2500|SP=122.8000|LC=34.1000|LP=42.0500,SC=159.2500|SP=122.8000|LC=34.1000|LP=42.0500,exit_before_expiry_required,False,itemized_indian_fno_cost_enabled,historical_chain_detail_available,True
TB11_DRY_0005,2026-06-23T06:47:31.908275+00:00,historical_replay_no_order,phase_1_dry_run,def_full_resg0_ovg50,2019-05-23,2019-05-30,7,65,simulated_signal_logged,none,False,would_open_paper_condor_no_order,blocked_no_broker_call,historical_close_premium_proxy,0.15,69.5325,59.102624999999996,79.962375,2.288094219761539,148.72612428450003,67.24440578023847,905.4675,11844.1,11922.8,16.47,12200.0,11450.0,12800.0,10800.0,12200.0,11450.0,12800.0,10800.0,SC=18.9000|SP=53.9000|LC=4.8500|LP=8.6500,SC=18.9000|SP=53.9000|LC=4.8500|LP=8.6500,exit_before_expiry_required,False,itemized_indian_fno_cost_enabled,historical_chain_detail_available,True
TB11_DRY_0006,2026-06-23T06:47:31.908275+00:00,historical_replay_no_order,phase_1_dry_run,def_full_resg0_ovg50,2019-09-23,2019-09-26,3,65,simulated_signal_logged,none,False,would_open_paper_condor_no_order,blocked_no_broker_call,historical_close_premium_proxy,0.15,23.9775,20.380875,27.574125,2.220959237561538,144.36235044149998,21.756540762438462,951.0225,11588.2,11512.4,16.73,11950.0,11200.0,12600.0,10600.0,11950.0,11200.0,12600.0,10600.0,SC=13.5500|SP=14.0500|LC=1.7500|LP=4.7500,SC=13.5500|SP=14.0500|LC=1.7500|LP=4.7500,exit_before_expiry_required,False,itemized_indian_fno_cost_enabled,historical_chain_detail_available,True
TB11_DRY_0007,2026-06-23T06:47:31.908275+00:00,historical_replay_no_order,phase_1_dry_run,def_full_resg0_ovg50,2019-09-26,2019-10-03,7,65,simulated_signal_logged,none,False,would_open_paper_condor_no_order,blocked_no_broker_call,historical_close_premium_proxy,0.15,28.2675,24.027375,32.507625,2.2193729251615384,144.2592401355,26.04812707483846,871.7325,11512.4,11174.75,16.12,11900.0,11150.0,12500.0,10550.0,11900.0,11150.0,12500.0,10550.0,SC=18.1500|SP=9.5000|LC=1.4500|LP=2.6000,SC=18.1500|SP=9.5000|LC=1.4500|LP=2.6000,exit_before_expiry_required,False,itemized_indian_fno_cost_enabled,historical_chain_detail_available,True
TB11_DRY_0008,2026-06-23T06:47:31.908275+00:00,historical_replay_no_order,phase_1_dry_run,def_full_resg0_ovg50,2019-10-14,2019-10-17,3,65,simulated_signal_logged,none,False,would_open_paper_condor_no_order,blocked_no_broker_call,historical_close_premium_proxy,0.15,15.682500000000001,13.330125,18.034875,2.1997676497615384,142.98489723449998,13.482732350238463,884.3174999999999,11428.3,11661.85,16.85,11800.0,11050.0,12400.0,10450.0,11800.0,11050.0,12400.0,10450.0,SC=1.3000|SP=13.3000|LC=0.1500|LP=1.5500,SC=1.3000|SP=13.3000|LC=0.1500|LP=1.5500,exit_before_expiry_required,False,itemized_indian_fno_cost_enabled,historical_chain_detail_available,True
TB11_DRY_0009,2026-06-23T06:47:31.908275+00:00,historical_replay_no_order,phase_1_dry_run,def_full_resg0_ovg50,2019-10-17,2019-10-24,7,65,simulated_signal_logged,none,False,would_open_paper_condor_no_order,blocked_no_broker_call,historical_close_premium_proxy,0.15,15.4725,13.151625,17.793374999999997,2.2036099933615385,143.2346495685,13.268890006638461,1184.5275,11661.85,11583.9,15.93,12100.0,11300.0,12900.0,10700.0,12100.0,11300.0,12900.0,10700.0,SC=2.0000|SP=14.6000|LC=0.1500|LP=3.1500,SC=2.0000|SP=14.6000|LC=0.1500|LP=3.1500,exit_before_expiry_required,False,itemized_indian_fno_cost_enabled,historical_chain_detail_available,True
TB11_DRY_0010,2026-06-23T06:47:31.908275+00:00,historical_replay_no_order,phase_1_dry_run,def_full_resg0_ovg50,2019-12-16,2019-12-19,3,65,simulated_signal_logged,none,False,would_open_paper_condor_no_order,blocked_no_broker_call,historical_close_premium_proxy,0.15,5.00625,4.2553125,5.757187499999999,2.186934932711538,142.15077062625,2.8193150672884615,1494.99375,12165.0,12271.8,12.52,12550.0,11800.0,13550.0,11100.0,12550.0,11800.0,13550.0,11100.0,SC=0.8000|SP=4.7500|LC=0.0500|LP=1.1500,SC=0.8000|SP=4.7500|LC=0.0500|LP=1.1500,exit_before_expiry_required,False,itemized_indian_fno_cost_enabled,historical_chain_detail_available,True
