scenario,allocation,entry_date,expiry_date,weighted_pnl_before_stt_points,weighted_exercise_stt_points,weighted_pnl_after_stt_points,weighted_return_after_stt,defensive_short_intrinsic_points,growth_short_intrinsic_points,defensive_itm_short_legs,growth_itm_short_legs
base,def_full_resg0_ovg50,2019-02-25,2019-02-28,-1.8787499999999986,0.0,-1.8787499999999986,-0.0031456544761219057,0.0,0.0,0,0
base,def_full_resg0_ovg50,2019-05-20,2019-05-23,137.11874999999998,0.0,137.11874999999998,0.2717442465380137,0.0,0.0,0,0
base,def_full_resg0_ovg50,2019-05-22,2019-05-30,222.25500000000002,0.0,222.25500000000002,0.44644758250808514,0.0,0.0,0,0
base,def_full_resg0_ovg50,2019-05-23,2019-05-30,63.5325,0.0,63.5325,0.10524811768506323,0.0,0.0,0,0
base,def_full_resg0_ovg50,2019-09-23,2019-09-26,17.9775,0.0,17.9775,0.028355007373642577,0.0,0.0,0,0
base,def_full_resg0_ovg50,2019-09-26,2019-10-03,22.267500000000002,0.0,22.267500000000002,0.03831593980951726,0.0,0.0,0,0
base,def_full_resg0_ovg50,2019-10-14,2019-10-17,9.682500000000001,0.0,9.682500000000001,0.016423682670534057,0.0,0.0,0,0
base,def_full_resg0_ovg50,2019-10-17,2019-10-24,9.472500000000002,0.0,9.472500000000002,0.011995289260907835,0.0,0.0,0,0
base,def_full_resg0_ovg50,2019-12-16,2019-12-19,-0.9937500000000008,0.0,-0.9937500000000008,-0.0009970777469805485,0.0,0.0,0,0
base,def_full_resg0_ovg50,2020-06-01,2020-06-04,59.83875,0.0,59.83875,0.13119440044287803,0.0,0.0,0,0
base,def_full_resg0_ovg50,2020-06-04,2020-06-11,101.0325,0.0,101.0325,0.21108023691880207,0.0,0.0,0,0
base,def_full_resg0_ovg50,2020-06-18,2020-06-25,98.48625000000001,0.0,98.48625000000001,0.20503338763486478,0.0,0.0,0,0
base,def_full_resg0_ovg50,2020-06-22,2020-06-25,54.881249999999994,0.0,54.881249999999994,0.10773439992147818,0.0,0.0,0,0
base,def_full_resg0_ovg50,2020-07-06,2020-07-09,17.887500000000003,0.0,17.887500000000003,0.03349248701025137,0.0,0.0,0,0
base,def_full_resg0_ovg50,2020-07-20,2020-07-23,33.165,0.0,33.165,0.05778982034884734,0.0,0.0,0,0
base,def_full_resg0_ovg50,2020-08-10,2020-08-13,4.995,0.0,4.995,0.008427961597516326,0.0,0.0,0,0
base,def_full_resg0_ovg50,2020-08-27,2020-09-03,20.13375,0.0,20.13375,0.034559779600139034,0.0,0.0,0,0
base,def_full_resg0_ovg50,2020-10-05,2020-10-08,21.682500000000005,0.0,21.682500000000005,0.034332470370282406,0.0,0.0,0,0
base,def_full_resg0_ovg50,2020-10-08,2020-10-15,41.35125000000001,0.0,41.35125000000001,0.07274610441873046,0.0,0.0,0,0
base,def_full_resg0_ovg50,2020-10-12,2020-10-15,16.4775,0.0,16.4775,0.02816594446296249,0.0,0.0,0,0
base,def_full_resg0_ovg50,2020-11-13,2020-11-19,10.173749999999998,0.0,10.173749999999998,0.015915944103532833,0.0,0.0,0,0
base,def_full_resg0_ovg50,2020-12-07,2020-12-10,3.671250000000001,0.0,3.671250000000001,0.005293398841471988,0.0,0.0,0,0
base,def_full_resg0_ovg50,2020-12-28,2020-12-31,7.275000000000002,0.0,7.275000000000002,0.010525935035809886,0.0,0.0,0,0
base,def_full_resg0_ovg50,2021-01-07,2021-01-14,45.91125,0.0,45.91125,0.06417630880949968,0.0,0.0,0,0
base,def_full_resg0_ovg50,2021-01-11,2021-01-14,16.9725,0.0,16.9725,0.023101737479327877,0.0,0.0,0,0
base,def_full_resg0_ovg50,2021-02-01,2021-02-04,96.13499999999999,0.0,96.13499999999999,0.1409790148260034,0.0,0.0,0,0
base,def_full_resg0_ovg50,2021-02-04,2021-02-11,50.55375,0.0,50.55375,0.07097280279658429,0.0,0.0,0,0
base,def_full_resg0_ovg50,2021-02-08,2021-02-11,19.4625,0.0,19.4625,0.024855528239839088,0.0,0.0,0,0
base,def_full_resg0_ovg50,2021-04-26,2021-04-29,52.40625,0.0,52.40625,0.07370132723916674,0.0,0.0,0,0
base,def_full_resg0_ovg50,2021-04-29,2021-05-06,126.37875,0.0,126.37875,0.19097729874310065,0.0,0.0,0,0
base,def_full_resg0_ovg50,2021-05-20,2021-05-27,70.59,0.0,70.59,0.09425321120516997,0.0,0.0,0,0
base,def_full_resg0_ovg50,2021-05-31,2021-06-03,3.6600000000000006,0.0,3.6600000000000006,0.004612127627400576,0.0,0.0,0,0
base,def_full_resg0_ovg50,2021-08-04,2021-08-12,19.950000000000006,0.0,19.950000000000006,0.023958208238261083,0.0,0.0,0,0
base,def_full_resg0_ovg50,2021-12-27,2021-12-30,20.31,0.0,20.31,0.0230152074881581,0.0,0.0,0,0
base,def_full_resg0_ovg50,2021-12-30,2022-01-06,37.58625000000001,0.0,37.58625000000001,0.043155834053338775,0.0,0.0,0,0
base,def_full_resg0_ovg50,2022-01-03,2022-01-06,10.683749999999998,0.0,10.683749999999998,0.012019372748213334,0.0,0.0,0,0
base,def_full_resg0_ovg50,2022-01-05,2022-01-13,50.04749999999999,0.0,50.04749999999999,0.05801700603383818,0.0,0.0,0,0
base,def_full_resg0_ovg50,2022-03-21,2022-03-24,82.79249999999999,0.0,82.79249999999999,0.09846813470424173,0.0,0.0,0,0
base,def_full_resg0_ovg50,2022-05-30,2022-06-02,17.928749999999994,0.0,17.928749999999994,0.02149607786127288,0.0,0.0,0,0
base,def_full_resg0_ovg50,2022-07-06,2022-07-14,78.18749999999999,0.0,78.18749999999999,0.09848842701936703,0.0,0.0,0,0
base,def_full_resg0_ovg50,2022-07-07,2022-07-14,39.45,0.0,39.45,0.048127363669635236,0.0,0.0,0,0
base,def_full_resg0_ovg50,2022-07-20,2022-07-28,22.81875,0.01546875,22.803281250000005,0.02772309013266873,8.25,8.25,1,1
base,def_full_resg0_ovg50,2022-07-21,2022-07-28,31.972500000000004,0.0,31.972500000000004,0.038769348296622354,0.0,0.0,0,0
base,def_full_resg0_ovg50,2022-10-17,2022-10-20,27.705,0.0,27.705,0.031571570202728105,0.0,0.0,0,0
base,def_full_resg0_ovg50,2022-10-19,2022-10-27,38.27250000000001,0.0,38.27250000000001,0.043966869044268435,0.0,0.0,0,0
base,def_full_resg0_ovg50,2022-10-20,2022-10-27,14.52375,0.0,14.52375,0.016386622175461954,0.0,0.0,0,0
base,def_full_resg0_ovg50,2022-10-31,2022-11-03,9.596250000000001,0.0,9.596250000000001,0.01021309543131271,0.0,0.0,0,0
base,def_full_resg0_ovg50,2024-02-01,2024-02-08,30.87375,0.0,30.87375,0.02870861781587151,0.0,0.0,0,0
base,def_full_resg0_ovg50,2024-03-27,2024-04-04,12.44625,0.0,12.44625,0.010939810715015567,0.0,0.0,0,0
base,def_full_resg0_ovg50,2024-05-15,2024-05-23,29.73,0.0,29.73,0.026398977072936827,0.0,0.0,0,0
moderate_stress,def_full_resg0_ovg50,2019-02-25,2019-02-28,-8.98125,0.0,-8.98125,-0.015019126653985242,0.0,0.0,0,0
moderate_stress,def_full_resg0_ovg50,2019-05-20,2019-05-23,102.58124999999998,0.0,102.58124999999998,0.19591062092673492,0.0,0.0,0,0
