scenario,allocation,warmup_trade_count,lot_size,capital_budget_rupees,worst_trade_budget_rupees,drawdown_budget_rupees,allowed_lots,capital_lot_cap,worst_trade_lot_cap,drawdown_lot_cap,trades,first_entry,last_expiry,years,total_pnl_points_per_lot,worst_trade_points_per_lot,max_drawdown_points_per_lot,peak_margin_points_per_lot,one_lot_total_pnl_rupees,one_lot_worst_trade_rupees,one_lot_max_drawdown_rupees,one_lot_peak_margin_rupees,total_pnl_rupees,worst_trade_rupees,max_drawdown_rupees,peak_margin_rupees,capital_utilization,annualized_return_on_margin,annualized_pnl_rupees,annualized_return_on_capital_budget,positive_years,negative_years,positive_folds,negative_folds,max_year_pnl_share,deployable_under_budgets,passes_maturity_robustness
base,def_full_resg0_ovg50,1,50,200000,10000,25000,3,3,106,503,50,2019-02-25,2024-05-23,5.240246406570842,2027.4299999999998,-1.8787499999999984,-0.9937499999999773,1137.7025000000071,101371.49999999999,-93.93749999999991,-49.68749999999886,56885.12500000036,304114.49999999994,-281.8124999999998,-149.0624999999966,170655.37500000108,0.8532768750000054,0.3162062221825812,58034.38930250783,0.29017194651253914,5,0,4,0,0.2761704473150738,True,True
base,def_full_resg0_ovg50,1,50,200000,10000,50000,3,3,106,1006,50,2019-02-25,2024-05-23,5.240246406570842,2027.4299999999998,-1.8787499999999984,-0.9937499999999773,1137.7025000000071,101371.49999999999,-93.93749999999991,-49.68749999999886,56885.12500000036,304114.49999999994,-281.8124999999998,-149.0624999999966,170655.37500000108,0.8532768750000054,0.3162062221825812,58034.38930250783,0.29017194651253914,5,0,4,0,0.2761704473150738,True,True
base,def_full_resg0_ovg50,1,50,200000,10000,100000,3,3,106,2012,50,2019-02-25,2024-05-23,5.240246406570842,2027.4299999999998,-1.8787499999999984,-0.9937499999999773,1137.7025000000071,101371.49999999999,-93.93749999999991,-49.68749999999886,56885.12500000036,304114.49999999994,-281.8124999999998,-149.0624999999966,170655.37500000108,0.8532768750000054,0.3162062221825812,58034.38930250783,0.29017194651253914,5,0,4,0,0.2761704473150738,True,True
base,def_full_resg0_ovg50,1,50,200000,10000,200000,3,3,106,4025,50,2019-02-25,2024-05-23,5.240246406570842,2027.4299999999998,-1.8787499999999984,-0.9937499999999773,1137.7025000000071,101371.49999999999,-93.93749999999991,-49.68749999999886,56885.12500000036,304114.49999999994,-281.8124999999998,-149.0624999999966,170655.37500000108,0.8532768750000054,0.3162062221825812,58034.38930250783,0.29017194651253914,5,0,4,0,0.2761704473150738,True,True
base,def_full_resg0_ovg50,1,50,200000,25000,25000,3,3,266,503,50,2019-02-25,2024-05-23,5.240246406570842,2027.4299999999998,-1.8787499999999984,-0.9937499999999773,1137.7025000000071,101371.49999999999,-93.93749999999991,-49.68749999999886,56885.12500000036,304114.49999999994,-281.8124999999998,-149.0624999999966,170655.37500000108,0.8532768750000054,0.3162062221825812,58034.38930250783,0.29017194651253914,5,0,4,0,0.2761704473150738,True,True
base,def_full_resg0_ovg50,1,50,200000,25000,50000,3,3,266,1006,50,2019-02-25,2024-05-23,5.240246406570842,2027.4299999999998,-1.8787499999999984,-0.9937499999999773,1137.7025000000071,101371.49999999999,-93.93749999999991,-49.68749999999886,56885.12500000036,304114.49999999994,-281.8124999999998,-149.0624999999966,170655.37500000108,0.8532768750000054,0.3162062221825812,58034.38930250783,0.29017194651253914,5,0,4,0,0.2761704473150738,True,True
base,def_full_resg0_ovg50,1,50,200000,25000,100000,3,3,266,2012,50,2019-02-25,2024-05-23,5.240246406570842,2027.4299999999998,-1.8787499999999984,-0.9937499999999773,1137.7025000000071,101371.49999999999,-93.93749999999991,-49.68749999999886,56885.12500000036,304114.49999999994,-281.8124999999998,-149.0624999999966,170655.37500000108,0.8532768750000054,0.3162062221825812,58034.38930250783,0.29017194651253914,5,0,4,0,0.2761704473150738,True,True
base,def_full_resg0_ovg50,1,50,200000,25000,200000,3,3,266,4025,50,2019-02-25,2024-05-23,5.240246406570842,2027.4299999999998,-1.8787499999999984,-0.9937499999999773,1137.7025000000071,101371.49999999999,-93.93749999999991,-49.68749999999886,56885.12500000036,304114.49999999994,-281.8124999999998,-149.0624999999966,170655.37500000108,0.8532768750000054,0.3162062221825812,58034.38930250783,0.29017194651253914,5,0,4,0,0.2761704473150738,True,True
base,def_full_resg0_ovg50,1,50,200000,50000,25000,3,3,532,503,50,2019-02-25,2024-05-23,5.240246406570842,2027.4299999999998,-1.8787499999999984,-0.9937499999999773,1137.7025000000071,101371.49999999999,-93.93749999999991,-49.68749999999886,56885.12500000036,304114.49999999994,-281.8124999999998,-149.0624999999966,170655.37500000108,0.8532768750000054,0.3162062221825812,58034.38930250783,0.29017194651253914,5,0,4,0,0.2761704473150738,True,True
base,def_full_resg0_ovg50,1,50,200000,50000,50000,3,3,532,1006,50,2019-02-25,2024-05-23,5.240246406570842,2027.4299999999998,-1.8787499999999984,-0.9937499999999773,1137.7025000000071,101371.49999999999,-93.93749999999991,-49.68749999999886,56885.12500000036,304114.49999999994,-281.8124999999998,-149.0624999999966,170655.37500000108,0.8532768750000054,0.3162062221825812,58034.38930250783,0.29017194651253914,5,0,4,0,0.2761704473150738,True,True
base,def_full_resg0_ovg50,1,50,200000,50000,100000,3,3,532,2012,50,2019-02-25,2024-05-23,5.240246406570842,2027.4299999999998,-1.8787499999999984,-0.9937499999999773,1137.7025000000071,101371.49999999999,-93.93749999999991,-49.68749999999886,56885.12500000036,304114.49999999994,-281.8124999999998,-149.0624999999966,170655.37500000108,0.8532768750000054,0.3162062221825812,58034.38930250783,0.29017194651253914,5,0,4,0,0.2761704473150738,True,True
base,def_full_resg0_ovg50,1,50,200000,50000,200000,3,3,532,4025,50,2019-02-25,2024-05-23,5.240246406570842,2027.4299999999998,-1.8787499999999984,-0.9937499999999773,1137.7025000000071,101371.49999999999,-93.93749999999991,-49.68749999999886,56885.12500000036,304114.49999999994,-281.8124999999998,-149.0624999999966,170655.37500000108,0.8532768750000054,0.3162062221825812,58034.38930250783,0.29017194651253914,5,0,4,0,0.2761704473150738,True,True
base,def_full_resg0_ovg50,1,50,200000,100000,25000,3,3,1064,503,50,2019-02-25,2024-05-23,5.240246406570842,2027.4299999999998,-1.8787499999999984,-0.9937499999999773,1137.7025000000071,101371.49999999999,-93.93749999999991,-49.68749999999886,56885.12500000036,304114.49999999994,-281.8124999999998,-149.0624999999966,170655.37500000108,0.8532768750000054,0.3162062221825812,58034.38930250783,0.29017194651253914,5,0,4,0,0.2761704473150738,True,True
base,def_full_resg0_ovg50,1,50,200000,100000,50000,3,3,1064,1006,50,2019-02-25,2024-05-23,5.240246406570842,2027.4299999999998,-1.8787499999999984,-0.9937499999999773,1137.7025000000071,101371.49999999999,-93.93749999999991,-49.68749999999886,56885.12500000036,304114.49999999994,-281.8124999999998,-149.0624999999966,170655.37500000108,0.8532768750000054,0.3162062221825812,58034.38930250783,0.29017194651253914,5,0,4,0,0.2761704473150738,True,True
base,def_full_resg0_ovg50,1,50,200000,100000,100000,3,3,1064,2012,50,2019-02-25,2024-05-23,5.240246406570842,2027.4299999999998,-1.8787499999999984,-0.9937499999999773,1137.7025000000071,101371.49999999999,-93.93749999999991,-49.68749999999886,56885.12500000036,304114.49999999994,-281.8124999999998,-149.0624999999966,170655.37500000108,0.8532768750000054,0.3162062221825812,58034.38930250783,0.29017194651253914,5,0,4,0,0.2761704473150738,True,True
base,def_full_resg0_ovg50,1,50,200000,100000,200000,3,3,1064,4025,50,2019-02-25,2024-05-23,5.240246406570842,2027.4299999999998,-1.8787499999999984,-0.9937499999999773,1137.7025000000071,101371.49999999999,-93.93749999999991,-49.68749999999886,56885.12500000036,304114.49999999994,-281.8124999999998,-149.0624999999966,170655.37500000108,0.8532768750000054,0.3162062221825812,58034.38930250783,0.29017194651253914,5,0,4,0,0.2761704473150738,True,True
