strategy,trade_count,first_entry,last_expiry,total_pnl_points,mean_pnl_points,median_pnl_points,worst_trade_points,win_rate,max_drawdown_points,mean_return_on_margin,total_return_on_margin,annualized_return_on_margin,mean_days_to_expiry,mean_total_contracts
TB11_farther_3pct_vix_shock_skip,864,2016-06-23,2024-06-27,3117.977500000001,3.6087702546296305,9.425,-611.0275,0.7685185185185185,-3650.1125,0.004633235511670784,4.003115482083557,0.10175218538785558,6.80787037037037,214607.7372685185
TB11_vix_shock_skip_2pct_5pct_wing,973,2016-06-23,2024-06-27,3565.029999999993,3.663956834532367,20.647500000000004,-723.525,0.7913669064748201,-4159.6075,0.004845620210748086,4.714788465057888,0.0976309115925198,6.821171634121274,352588.6094552929
TB11_farther_3pct_5pct_wing,868,2016-06-23,2024-06-27,2639.96,3.0414285714285714,9.425,-611.0275,0.7672811059907834,-4340.6275,0.0027049658801905504,2.347910384005398,0.07507326818253657,6.799539170506913,214291.7926267281
TB11_vix_lt_p60_2pct_5pct_wing,631,2016-07-21,2024-06-27,539.2324999999867,0.8545681458002958,17.4825,-723.525,0.8003169572107766,-3893.1250000000036,0.0020665972277684455,1.3040228507218892,0.07120385724154787,6.857369255150554,329513.95245641837
TB11_base_2pct_5pct_wing,978,2016-06-23,2024-06-27,2661.757499999992,2.721633435582814,20.47,-723.525,0.7883435582822086,-4831.482500000002,0.0023822532695661103,2.329843697635656,0.06604892639760451,6.809815950920245,353018.51431492844
TB11_vix_lt_p60_3pct_5pct_wing,570,2016-07-21,2024-06-27,522.4799999999914,0.9166315789473533,6.49375,-611.0275,0.7526315789473684,-2113.605000000002,0.001760515295754983,1.0034937185803403,0.06544622625951169,6.836842105263158,199238.4298245614
TB11_vix_lt_20_2pct_5pct_wing,723,2016-06-23,2024-06-27,1457.4724999999958,2.0158679114799387,16.4125,-723.525,0.8077455048409405,-5272.889999999994,0.0015796794926234336,1.1421082731667425,0.05631867233743204,6.874135546334716,367736.8423236515
TB11_tighter_risk_2pct_3pct_wing,1041,2016-06-23,2024-07-11,-3603.4700000000057,-3.461546589817489,16.897499999999994,-446.53750000000144,0.7646493756003843,-7421.262499999982,-0.01260167840707714,-13.118347221767301,,6.852065321805956,393345.3611911623
TB11_tighter_risk_3pct_3pct_wing,1024,2016-06-23,2024-07-11,-703.2500000000018,-0.6867675781250018,6.08625,-461.5425,0.724609375,-4939.4275,-0.005598124120517774,-5.732479099410201,,6.8271484375,259586.490234375
TB11_farther_4pct_5pct_wing,734,2016-06-23,2024-06-27,-249.17749999999933,-0.3394788828337865,3.2475000000000005,-630.675,0.6239782016348774,-4012.8849999999975,-0.002021847267935749,-1.4840358946648395,,6.802452316076295,147114.11171662126
