contract_name,required_text,present,severity,blocker
title,# TB11 Phase 2 Paper-Price Reconciliation Runbook,True,pass,
gate_evidence_section,## Gate Evidence,True,pass,
source_of_truth_section,## Source Of Truth,True,pass,
quote_snapshot_source_of_truth,broker quote snapshots captured by quote-only collectors,True,pass,
no_order_source_of_truth,No Phase 2 artifact may use broker order endpoints,True,pass,
resolver_chain_source_of_truth,selected-leg resolver defines the leg symbols,True,pass,
reconciliation_tolerances_section,## Reconciliation Tolerances,True,pass,
mid_quote_model_credit_compare,live mid-quote modeled credit,True,pass,
ten_pct_tolerance,10%,True,pass,
fifteen_pct_tolerance,15%,True,pass,
divergence_escalation_section,## Divergence Escalation,True,pass,
missing_model_credit_escalation,modeled credit is missing,True,pass,
quote_freshness_escalation,quote freshness fails,True,pass,
broker_block_escalation,broker-block violations are non-zero,True,pass,
hold_times_section,## Hold Times Per Leg,True,pass,
short_call_hold,Short call and short put,True,pass,
long_wing_hold,Long call and long put,True,pass,
daily_artifact_list_section,## Daily Artifact List,True,pass,
resolver_artifact,tb11_options_current_nfo_leg_resolver_template.csv,True,pass,
quote_collector_artifact,tb11_options_zerodha_quote_only_collector_summary.csv,True,pass,
phase1_ledger_artifact,tb11_options_phase1_observation_ledger_summary.csv,True,pass,
t28_artifact,tb11_nifty_chain_band_quote_collector_summary.csv,True,pass,
readiness_artifact,tb11_phase2_paper_price_reconciliation_readiness_summary.csv,True,pass,
broker_block_reaffirmation_section,## Broker-Block Reaffirmation,True,pass,
place_order_forbidden,place_order,True,pass,
modify_order_forbidden,modify_order,True,pass,
cancel_order_forbidden,cancel_order,True,pass,
future_human_approval,explicit future human approval,True,pass,
