fold_set,quantile,threshold,normal_active_weight,hedge_active_weight,borrow_annual,short_slippage_bps,fold_count,mean_strategy_annualized,mean_rebalanced_benchmark_annualized,mean_excess_vs_rebalanced_benchmark_annualized,folds_beating_rebalanced_benchmark,min_excess_vs_rebalanced_benchmark_annualized
fit_folds_1_8,0.25,0.4074074074074073,0.2,-0.3,0.05,25.0,8,0.20084066531041256,0.16888483494264864,0.03195583036776392,8,0.0025468315172474387
fit_folds_1_8,0.2,0.34074074074074084,0.2,-0.3,0.05,25.0,8,0.2005008417017855,0.16888483494264864,0.03161600675913688,8,0.0025468315172474387
fit_folds_1_8,0.33,0.48148148148148134,0.2,-0.3,0.05,25.0,8,0.20047115382456035,0.16888483494264864,0.03158631888191171,8,0.013071056209611909
fit_folds_1_8,0.33,0.48148148148148134,0.2,-0.2,0.05,25.0,8,0.19762832748871495,0.16888483494264864,0.028743492546066313,8,0.007981242568591895
fit_folds_1_8,0.33,0.48148148148148134,0.2,-0.1,0.05,25.0,8,0.1947854051383323,0.16888483494264864,0.02590057019568366,8,0.00289155707058919
fit_folds_1_8,0.5,0.5925925925925924,0.2,-0.3,0.05,25.0,8,0.1920941755892802,0.16888483494264864,0.023209340646631563,8,0.0012444893287266723
fit_folds_1_8,0.5,0.5925925925925924,0.2,-0.2,0.05,25.0,8,0.19149595725698138,0.16888483494264864,0.022611122314332724,8,0.002216811713685818
fit_folds_1_8,0.5,0.5925925925925924,0.2,-0.1,0.05,25.0,8,0.19089155295221277,0.16888483494264864,0.022006718009564122,8,0.0031491666167735577
fit_folds_1_8,0.2,0.34074074074074084,0.1,-0.3,0.05,25.0,8,0.18969223510838001,0.16888483494264864,0.02080740016573139,8,0.0063800649837726375
fit_folds_1_8,0.25,0.4074074074074073,0.1,-0.2,0.05,25.0,8,0.1864158870047451,0.16888483494264864,0.017531052062096472,8,0.0030096009595488304
fit_folds_1_8,0.2,0.34074074074074084,0.1,-0.2,0.05,25.0,8,0.18631887786609913,0.16888483494264864,0.01743404292345048,8,0.0030096009595488304
fit_folds_1_8,0.33,0.48148148148148134,0.1,-0.2,0.05,25.0,8,0.18605631104710924,0.16888483494264864,0.017171476104460584,8,0.004529016192745594
fit_folds_1_8,0.33,0.48148148148148134,0.1,-0.1,0.05,25.0,8,0.18321833741112298,0.16888483494264864,0.01433350246847434,8,0.004017056886429726
fit_folds_1_8,0.5,0.5925925925925924,0.1,-0.1,0.05,25.0,8,0.1801846269878541,0.16888483494264864,0.011299792045205467,8,0.0011546281227865496
fit_folds_1_8,0.25,0.4074074074074073,0.2,-0.2,0.05,25.0,8,0.19761482774213346,0.16888483494264864,0.02872999279948482,7,-0.0008122140431858771
fit_folds_1_8,0.2,0.34074074074074084,0.2,-0.2,0.05,25.0,8,0.1971143596385017,0.16888483494264864,0.028229524695853075,7,-0.0008122140431858771
fit_folds_1_8,0.4,0.5333333333333334,0.2,-0.3,0.05,25.0,8,0.19635761152639214,0.16888483494264864,0.027472776583743502,7,-0.003946459090977239
fit_folds_1_8,0.4,0.5333333333333334,0.2,-0.2,0.05,25.0,8,0.1945081558135664,0.16888483494264864,0.02562332087091776,7,-0.002341675505149299
fit_folds_1_8,0.25,0.4074074074074073,0.2,-0.1,0.05,25.0,8,0.19439505189752115,0.16888483494264864,0.02551021695487253,7,-0.004181263723631146
fit_folds_1_8,0.2,0.34074074074074084,0.2,-0.1,0.05,25.0,8,0.1937311447519733,0.16888483494264864,0.024846309809324674,7,-0.004181263723631146
fit_folds_1_8,0.4,0.5333333333333334,0.2,-0.1,0.05,25.0,8,0.19265389779747422,0.16888483494264864,0.023769062854825565,7,-0.000774945118107162
fit_folds_1_8,0.25,0.4074074074074073,0.1,-0.3,0.05,25.0,8,0.18963391519394424,0.16888483494264864,0.020749080251295585,7,-0.0032162617599706955
fit_folds_1_8,0.33,0.48148148148148134,0.1,-0.3,0.05,25.0,8,0.18889430642252775,0.16888483494264864,0.020009471479879096,7,-0.0032162617599706955
fit_folds_1_8,0.4,0.5333333333333334,0.1,-0.2,0.05,25.0,8,0.1835268442721366,0.16888483494264864,0.014642009329487962,7,-0.0026900493726009778
