symbol,trade_date,expiry_date,strike,premium_close,premium_settle,contracts,open_interest,dte,entry_spot,target_strike,strike_distance,expiry_spot,intrinsic_loss_points,pnl_points,return_on_cash,assigned,entry_moneyness_pct
BHARTIARTL,2024-08-22,2024-09-26,1400.0,7.5,7.5,772.0,663575.0,35,1486.35,1412.0324999999998,12.0324999999998,1771.1,0.0,7.5,0.0053571428571428,False,-0.0580953342079589
BHARTIARTL,2024-09-26,2024-10-31,1680.0,13.35,13.35,733.0,275025.0,35,1771.1,1682.5449999999998,2.5449999999998454,1612.6,67.40000000000009,-54.05000000000009,-0.0321726190476191,True,-0.0514369600813053
BHARTIARTL,2024-10-24,2024-11-28,1580.0,12.05,9.7,1.0,475.0,35,1678.45,1594.5275,14.527499999999918,1560.4,19.59999999999991,-7.549999999999908,-0.0047784810126581,True,-0.0586553069796538
BHARTIARTL,2024-11-22,2024-12-26,1480.0,10.7,10.7,177.0,48925.0,34,1569.3,1490.8349999999998,10.834999999999807,1599.5,0.0,10.7,0.0072297297297297,False,-0.0569043522589689
BHARTIARTL,2024-12-26,2025-01-30,1500.0,8.1,8.1,759.0,316350.0,35,1599.5,1519.525,19.524999999999864,1640.75,0.0,8.1,0.0053999999999999,False,-0.0622069396686464
ICICIBANK,2024-08-22,2024-09-26,1130.0,7.4,7.4,86.0,42000.0,35,1191.1,1131.5449999999998,1.5449999999998454,1329.05,0.0,7.4,0.0065486725663716,False,-0.051297120308958
ICICIBANK,2024-09-26,2024-10-31,1260.0,8.25,8.25,324.0,200900.0,35,1329.05,1262.5975,2.5974999999998545,1292.25,0.0,8.25,0.006547619047619,False,-0.0519544035213122
ICICIBANK,2024-10-24,2024-11-28,1180.0,10.45,10.45,82.0,84000.0,35,1252.75,1190.1125,10.112499999999956,1286.35,0.0,10.45,0.0088559322033898,False,-0.0580722410696468
ICICIBANK,2024-11-21,2024-12-26,1180.0,8.95,8.95,208.0,88200.0,35,1250.55,1188.0224999999998,8.022499999999809,1297.35,0.0,8.95,0.0075847457627118,False,-0.0564151773219783
ICICIBANK,2024-12-26,2025-01-30,1230.0,6.85,6.85,306.0,185500.0,35,1297.35,1232.4824999999998,2.4824999999998454,1255.6,0.0,6.85,0.0055691056910569,False,-0.0519135160134118
INFY,2024-08-22,2024-09-26,1780.0,12.2,12.2,16.0,44800.0,35,1880.25,1786.2375,6.2374999999999545,1900.25,0.0,12.2,0.0068539325842696,False,-0.0533173780082435
INFY,2024-09-26,2024-10-31,1800.0,28.4,28.4,2275.0,739600.0,35,1900.25,1805.2375,5.2374999999999545,1757.25,42.75,-14.35,-0.0079722222222222,True,-0.0527562162873306
INFY,2024-10-24,2024-11-28,1760.0,14.95,14.95,39.0,94800.0,35,1863.35,1770.1825,10.18249999999989,1856.65,0.0,14.95,0.0084943181818181,False,-0.0554646201733436
INFY,2024-11-21,2024-12-26,1740.0,14.9,14.9,135.0,44800.0,35,1834.05,1742.3475,2.3474999999998545,1907.4,0.0,14.9,0.0085632183908045,False,-0.0512799541997218
INFY,2024-12-26,2025-01-30,1800.0,13.5,13.5,1124.0,417600.0,35,1907.4,1812.03,12.029999999999973,1859.95,0.0,13.5,0.0075,False,-0.0563070147845234
LT,2024-08-22,2024-09-26,3400.0,18.05,18.05,246.0,93750.0,35,3606.5,3426.175,26.174999999999727,3762.15,0.0,18.05,0.0053088235294117,False,-0.0572577291002356
LT,2024-09-26,2024-10-31,3550.0,24.1,24.1,1170.0,97650.0,35,3762.15,3574.0425,24.042500000000015,3622.3,0.0,24.1,0.0067887323943661,False,-0.0563906276995866
LT,2024-10-24,2024-11-28,3250.0,33.65,33.65,307.0,28950.0,35,3442.65,3270.5175,20.517499999999927,3666.05,0.0,33.65,0.0103538461538461,False,-0.0559597984111077
LT,2024-11-21,2024-12-26,3300.0,30.1,30.1,946.0,98100.0,35,3483.5,3309.325,9.324999999999818,3629.5,0.0,30.1,0.0091212121212121,False,-0.0526769054112243
LT,2024-12-26,2025-01-30,3400.0,15.15,15.15,856.0,61650.0,35,3629.5,3448.025,48.02499999999964,3420.95,0.0,15.15,0.0044558823529411,False,-0.0632318501170959
RELIANCE,2024-10-28,2024-11-28,1260.0,11.15,11.15,494.0,213500.0,31,1334.35,1267.6325,7.632499999999936,1270.8,0.0,11.15,0.0088492063492063,False,-0.055720013489714
RELIANCE,2024-11-21,2024-12-26,1160.0,13.65,13.65,686.0,229000.0,35,1223.0,1161.85,1.849999999999909,1216.55,0.0,13.65,0.0117672413793103,False,-0.0515126737530662
RELIANCE,2024-12-26,2025-01-30,1150.0,8.85,8.85,2257.0,1316000.0,35,1216.55,1155.7225,5.722499999999855,1253.05,0.0,8.85,0.007695652173913,False,-0.0547038757141095
SBIN,2024-08-22,2024-09-26,770.0,4.8,4.8,356.0,271500.0,35,820.3,779.285,9.284999999999968,801.85,0.0,4.8,0.0062337662337662,False,-0.0613190296233084
SBIN,2024-09-26,2024-10-31,760.0,5.55,5.55,3142.0,1007250.0,35,801.85,761.7574999999999,1.7574999999999363,820.2,0.0,5.55,0.0073026315789473,False,-0.05219180644759
SBIN,2024-10-24,2024-11-28,750.0,7.0,7.0,1203.0,2040000.0,35,794.55,754.8224999999999,4.822499999999877,838.85,0.0,7.0,0.0093333333333333,False,-0.056069473286766
SBIN,2024-11-21,2024-12-26,740.0,10.15,10.15,1280.0,214500.0,35,780.75,741.7125,1.7124999999999773,812.45,0.0,10.15,0.0137162162162162,False,-0.0521934037784181
SBIN,2024-12-26,2025-01-30,770.0,5.3,5.3,1976.0,666750.0,35,812.45,771.8275,1.8274999999999864,762.6,7.399999999999977,-2.099999999999977,-0.0027272727272726,True,-0.0522493691919503
TCS,2024-08-22,2024-09-26,4250.0,20.3,20.3,64.0,10675.0,35,4502.0,4276.9,26.89999999999964,4292.5,0.0,20.3,0.0047764705882352,False,-0.0559751221679253
TCS,2024-09-26,2024-10-31,4050.0,38.75,38.75,493.0,60375.0,35,4292.5,4077.875,27.875,3968.45,81.55000000000018,-42.80000000000018,-0.0105679012345679,True,-0.0564938846825858
TCS,2024-10-24,2024-11-28,3800.0,18.25,18.25,386.0,110075.0,35,4047.9,3845.505,45.50500000000011,4244.9,0.0,18.25,0.0048026315789473,False,-0.0612416314632279
TCS,2024-11-21,2024-12-26,3850.0,27.3,27.3,20.0,3500.0,35,4072.85,3869.2075,19.207499999999527,4169.1,0.0,27.3,0.007090909090909,False,-0.054715985120984
TCS,2024-12-26,2025-01-30,3950.0,28.2,28.2,381.0,41825.0,35,4169.1,3960.645,10.644999999999982,4100.05,0.0,28.2,0.0071392405063291,False,-0.0525533088676214
