entry_date,reason,expiry_date,total_entry_contracts
2016-06-23,uptrend_gate_false,,
2016-06-27,uptrend_gate_false,,
2016-06-28,uptrend_gate_false,,
2016-06-29,uptrend_gate_false,,
2016-06-30,uptrend_gate_false,,
2016-07-04,uptrend_gate_false,,
2016-07-07,uptrend_gate_false,,
2016-07-11,uptrend_gate_false,,
2016-07-12,uptrend_gate_false,,
2016-07-13,uptrend_gate_false,,
2016-07-14,uptrend_gate_false,,
2016-07-18,uptrend_gate_false,,
2016-07-19,uptrend_gate_false,,
2016-07-20,uptrend_gate_false,,
2016-07-21,uptrend_gate_false,,
2016-07-26,no_weekly_expiry_in_window,,
2016-07-27,no_weekly_expiry_in_window,,
2016-07-28,no_weekly_expiry_in_window,,
2016-08-01,no_weekly_expiry_in_window,,
2016-08-02,no_weekly_expiry_in_window,,
2016-08-03,uptrend_gate_false,,
2016-08-04,no_weekly_expiry_in_window,,
2016-08-08,no_weekly_expiry_in_window,,
2016-08-09,uptrend_gate_false,,
2016-08-10,uptrend_gate_false,,
2016-08-11,no_weekly_expiry_in_window,,
2016-08-16,liquidity_below_min_entry_contracts,2016-08-25,6046.0
2016-08-22,uptrend_gate_false,,
2016-08-23,no_weekly_expiry_in_window,,
2016-08-24,uptrend_gate_false,,
2016-08-25,uptrend_gate_false,,
2016-08-29,no_weekly_expiry_in_window,,
2016-08-30,no_weekly_expiry_in_window,,
2016-08-31,no_weekly_expiry_in_window,,
2016-09-01,no_weekly_expiry_in_window,,
2016-09-06,no_weekly_expiry_in_window,,
2016-09-07,no_weekly_expiry_in_window,,
2016-09-08,no_weekly_expiry_in_window,,
2016-09-14,no_weekly_expiry_in_window,,
2016-09-15,no_weekly_expiry_in_window,,
2016-09-22,liquidity_below_min_entry_contracts,2016-09-29,9298.0
2016-09-26,uptrend_gate_false,,
2016-09-27,uptrend_gate_false,,
2016-09-28,uptrend_gate_false,,
2016-09-29,uptrend_gate_false,,
2016-10-03,uptrend_gate_false,,
2016-10-04,uptrend_gate_false,,
2016-10-05,uptrend_gate_false,,
2016-10-06,uptrend_gate_false,,
2016-10-13,uptrend_gate_false,,
2016-10-17,uptrend_gate_false,,
2016-10-18,uptrend_gate_false,,
2016-10-19,uptrend_gate_false,,
2016-10-20,uptrend_gate_false,,
2016-10-24,uptrend_gate_false,,
2016-10-25,uptrend_gate_false,,
2016-10-26,uptrend_gate_false,,
2016-10-27,uptrend_gate_false,,
2016-11-01,uptrend_gate_false,,
2016-11-02,uptrend_gate_false,,
2016-11-03,uptrend_gate_false,,
2016-11-07,uptrend_gate_false,,
2016-11-08,uptrend_gate_false,,
2016-11-09,uptrend_gate_false,,
2016-11-10,uptrend_gate_false,,
2016-11-15,uptrend_gate_false,,
2016-11-16,uptrend_gate_false,,
2016-11-17,uptrend_gate_false,,
2016-11-21,uptrend_gate_false,,
2016-11-22,uptrend_gate_false,,
2016-11-23,uptrend_gate_false,,
2016-11-24,uptrend_gate_false,,
2016-11-28,uptrend_gate_false,,
2016-11-29,uptrend_gate_false,,
2016-11-30,uptrend_gate_false,,
2016-12-01,uptrend_gate_false,,
2016-12-05,uptrend_gate_false,,
2016-12-06,uptrend_gate_false,,
2016-12-07,uptrend_gate_false,,
2016-12-08,uptrend_gate_false,,
2016-12-12,no_weekly_expiry_in_window,,
2016-12-13,no_weekly_expiry_in_window,,
2016-12-14,no_weekly_expiry_in_window,,
2016-12-15,no_weekly_expiry_in_window,,
2016-12-19,uptrend_gate_false,,
2016-12-20,uptrend_gate_false,,
2016-12-21,uptrend_gate_false,,
2016-12-22,uptrend_gate_false,,
2016-12-26,uptrend_gate_false,,
2016-12-27,uptrend_gate_false,,
2016-12-28,uptrend_gate_false,,
2016-12-29,no_weekly_expiry_in_window,,
2017-01-02,no_weekly_expiry_in_window,,
2017-01-03,no_weekly_expiry_in_window,,
2017-01-04,no_weekly_expiry_in_window,,
2017-01-05,uptrend_gate_false,,
2017-01-09,no_weekly_expiry_in_window,,
2017-01-10,no_weekly_expiry_in_window,,
2017-01-11,no_weekly_expiry_in_window,,
2017-01-12,no_weekly_expiry_in_window,,
2017-01-16,missing_spot_expiry,2017-01-25,
2017-01-17,missing_spot_expiry,2017-01-25,
2017-01-18,missing_spot_expiry,2017-01-25,
2017-01-19,missing_spot_expiry,2017-01-25,
2017-01-23,no_weekly_expiry_in_window,,
2017-01-24,no_weekly_expiry_in_window,,
2017-01-30,no_weekly_expiry_in_window,,
2017-01-31,no_weekly_expiry_in_window,,
2017-02-01,no_weekly_expiry_in_window,,
2017-02-02,no_weekly_expiry_in_window,,
2017-02-06,no_weekly_expiry_in_window,,
2017-02-07,no_weekly_expiry_in_window,,
2017-02-08,no_weekly_expiry_in_window,,
2017-02-09,no_weekly_expiry_in_window,,
2017-02-13,missing_spot_expiry,2017-02-23,
2017-02-14,missing_spot_expiry,2017-02-23,
2017-02-15,missing_spot_expiry,2017-02-23,
2017-02-16,missing_spot_expiry,2017-02-23,
2017-02-20,missing_spot_expiry,2017-02-23,
2017-02-21,no_weekly_expiry_in_window,,
2017-02-22,no_weekly_expiry_in_window,,
2017-02-27,no_weekly_expiry_in_window,,
2017-02-28,no_weekly_expiry_in_window,,
2017-03-01,no_weekly_expiry_in_window,,
2017-03-02,no_weekly_expiry_in_window,,
2017-03-06,no_weekly_expiry_in_window,,
