symbol,trade_date,expiry_date,entry_spot,expiry_spot,short_put_strike,long_put_strike,short_put_premium,long_put_premium,net_credit_points,spread_width_points,max_loss_points,max_loss_pct_collateral,pnl_points,return_on_max_loss,return_on_cash_equivalent,assigned_or_tested,_symbol,_entry_date,_expiry_date,strategy,variant,scenario,event_window_start,event_window_end,event_count,event_symbols,event_dates,event_sources,event_weight_pct,event_overlap_eligible,vetoed_by_overlay,broker_orders_allowed,allocation,residual_growth_weight,overlap_growth_weight,entry_date,weighted_pnl_points,weighted_return_on_margin,active_legs,has_defensive,has_growth
BHARTIARTL,2016-05-09,2016-05-26,360.05,346.35,340.0,330.0,1.85,0.95,0.9000000000000001,10.0,9.1,0.0267647058823529,0.9000000000000001,0.0989010989010989,0.0026470588235294,False,BHARTIARTL,2016-05-09,2016-05-26,TB15_T04,symbol_event_entry_to_expiry,stock_symbol,2016-05-09,2016-05-26,0,,,,0.0,False,False,False,,,,,,,,,
BHARTIARTL,2016-05-26,2016-06-30,346.35,360.05,320.0,310.0,2.2,1.5,0.7000000000000002,10.0,9.3,0.0290625,0.7000000000000002,0.075268817204301,0.0021875,False,BHARTIARTL,2016-05-26,2016-06-30,TB15_T04,symbol_event_entry_to_expiry,stock_symbol,2016-05-26,2016-06-30,0,,,,0.0,False,False,False,,,,,,,,,
BHARTIARTL,2016-06-23,2016-07-28,358.1,365.05,340.0,330.0,4.6,2.75,1.85,10.0,8.15,0.0239705882352941,1.85,0.2269938650306747,0.0054411764705882,False,BHARTIARTL,2016-06-23,2016-07-28,TB15_T04,symbol_event_entry_to_expiry,stock_symbol,2016-06-23,2016-07-28,0,,,,0.0,False,False,False,,,,,,,,,
BHARTIARTL,2016-10-24,2016-11-24,301.0,296.85,280.0,270.0,3.1,1.85,1.25,10.0,8.75,0.03125,1.25,0.1428571428571428,0.0044642857142857,False,BHARTIARTL,2016-10-24,2016-11-24,TB15_T04,symbol_event_entry_to_expiry,stock_symbol,2016-10-24,2016-11-24,0,,,,0.0,False,False,False,,,,,,,,,
BHARTIARTL,2016-11-24,2016-12-29,296.85,297.4,280.0,270.0,3.6,2.65,0.9500000000000002,10.0,9.05,0.0323214285714285,0.9500000000000002,0.1049723756906077,0.0033928571428571,False,BHARTIARTL,2016-11-24,2016-12-29,TB15_T04,symbol_event_entry_to_expiry,stock_symbol,2016-11-24,2016-12-29,0,,,,0.0,False,False,False,,,,,,,,,
BHARTIARTL,2017-02-23,2017-03-30,359.5,344.75,340.0,330.0,6.15,3.85,2.3000000000000003,10.0,7.699999999999999,0.0226470588235294,2.3000000000000003,0.2987012987012987,0.0067647058823529,False,BHARTIARTL,2017-02-23,2017-03-30,TB15_T04,symbol_event_entry_to_expiry,stock_symbol,2017-02-23,2017-03-30,0,,,,0.0,False,False,False,,,,,,,,,
BHARTIARTL,2017-05-25,2017-06-29,363.85,375.4,340.0,330.0,3.2,2.25,0.9500000000000002,10.0,9.05,0.0266176470588235,0.9500000000000002,0.1049723756906077,0.0027941176470588,False,BHARTIARTL,2017-05-25,2017-06-29,TB15_T04,symbol_event_entry_to_expiry,stock_symbol,2017-05-25,2017-06-29,0,,,,0.0,False,False,False,,,,,,,,,
BHARTIARTL,2017-07-27,2017-08-31,408.4,419.8,380.0,370.0,3.0,1.55,1.45,10.0,8.55,0.0225,1.45,0.1695906432748538,0.0038157894736842,False,BHARTIARTL,2017-07-27,2017-08-31,TB15_T04,symbol_event_entry_to_expiry,stock_symbol,2017-07-27,2017-08-31,0,,,,0.0,False,False,False,,,,,,,,,
BHARTIARTL,2017-08-24,2017-09-28,424.95,375.0,400.0,390.0,3.55,2.5,1.0499999999999998,10.0,8.95,0.022375,-8.95,-1.0,-0.022375,True,BHARTIARTL,2017-08-24,2017-09-28,TB15_T04,symbol_event_entry_to_expiry,stock_symbol,2017-08-24,2017-09-28,0,,,,0.0,False,False,False,,,,,,,,,
BHARTIARTL,2017-10-26,2017-11-30,501.9,487.3,470.0,450.0,7.1,3.7,3.3999999999999995,20.0,16.6,0.0353191489361702,3.3999999999999995,0.2048192771084336,0.0072340425531914,False,BHARTIARTL,2017-10-26,2017-11-30,TB15_T04,symbol_event_entry_to_expiry,stock_symbol,2017-10-26,2017-11-30,0,,,,0.0,False,False,False,,,,,,,,,
BHARTIARTL,2017-11-23,2017-12-28,487.2,521.55,460.0,450.0,3.7,2.45,1.25,10.0,8.75,0.0190217391304347,1.25,0.1428571428571428,0.0027173913043478,False,BHARTIARTL,2017-11-23,2017-12-28,TB15_T04,symbol_event_entry_to_expiry,stock_symbol,2017-11-23,2017-12-28,0,,,,0.0,False,False,False,,,,,,,,,
BHARTIARTL,2017-12-22,2018-01-25,518.8,444.35,490.0,460.0,5.0,1.45,3.55,30.0,26.45,0.0539795918367346,-26.450000000000003,-1.0000000000000002,-0.0539795918367347,True,BHARTIARTL,2017-12-22,2018-01-25,TB15_T04,symbol_event_entry_to_expiry,stock_symbol,2017-12-22,2018-01-25,0,,,,0.0,False,False,False,,,,,,,,,
BHARTIARTL,2018-01-19,2018-02-22,488.7,408.45,460.0,440.0,6.2,3.5,2.7,20.0,17.3,0.0376086956521739,-17.299999999999997,-0.9999999999999998,-0.0376086956521739,True,BHARTIARTL,2018-01-19,2018-02-22,TB15_T04,symbol_event_entry_to_expiry,stock_symbol,2018-01-19,2018-02-22,0,,,,0.0,False,False,False,,,,,,,,,
BHARTIARTL,2018-03-22,2018-04-26,407.95,401.65,380.0,360.0,3.75,1.45,2.3,20.0,17.7,0.046578947368421,2.3,0.1299435028248587,0.0060526315789473,False,BHARTIARTL,2018-03-22,2018-04-26,TB15_T04,symbol_event_entry_to_expiry,stock_symbol,2018-03-22,2018-04-26,0,,,,0.0,False,False,False,,,,,,,,,
