fold_id,fold_start_date,fold_end_date,benchmark_ann,baseline_static_ann,tilt_ann,benchmark_max_drawdown,baseline_static_max_drawdown,tilt_max_drawdown,tilt_beats_benchmark,tilt_drawdown_better_than_benchmark,risk_off_events,event_count
1,2016-08-02,2017-08-07,0.17434800143604634,0.12162605114595038,0.12162605114595038,-0.078125,-0.08245960687269382,-0.08245960687269382,False,False,0,25
2,2017-08-07,2018-08-08,0.1508755983073491,0.10947652219891402,0.10947652219891402,-0.06957287538529267,-0.06551067807731259,-0.06551067807731259,False,True,0,25
3,2018-08-08,2019-08-05,-0.033867364950477485,-0.043167056684533356,-0.05805370497312723,-0.12308963238331261,-0.11192603451615135,-0.11192603451615135,False,True,1,24
4,2019-08-05,2020-07-28,0.04316737551056016,0.03822000451420049,0.048563813504704845,-0.32029880326244375,-0.290436338617881,-0.24014257737450873,True,True,6,24
5,2020-07-28,2021-07-13,0.43958093004339016,0.3489592024438779,0.3489592024438779,-0.045812236930397154,-0.04542915069530962,-0.04542915069530962,False,True,0,24
6,2021-07-13,2022-06-30,0.0087210564553577,-0.012480775700462798,-0.041480244465408767,-0.14383526646568867,-0.14098624378418878,-0.15742462124729129,False,False,2,24
7,2022-06-30,2023-06-20,0.2098297535494007,0.16788167418432298,0.16788167418432298,-0.07418016594231513,-0.06908089879760648,-0.06908089879760648,False,True,0,24
8,2023-06-20,2024-06-07,0.2612068038985902,0.215371063414183,0.215371063414183,-0.04762334672504853,-0.043687639851395454,-0.043687639851395454,False,True,0,24
9,2024-06-07,2025-05-28,0.07680223554921284,0.058669919328073306,0.058669919328073306,-0.11038961038961048,-0.10329438484350861,-0.10329438484350861,False,True,0,24
10,2025-05-28,2026-05-05,-0.025593002621307037,-0.024548281920333204,-0.051411389578603806,-0.12826329868282926,-0.11628157905222836,-0.11628157905222836,False,True,1,24
